food_name,category,serving_weight_g,cooking_method,protein_g,carbs_g,fat_g,fiber_g,sugar_g,water_pct,calories
Apple,Fruits,250.0,grilled,0.75,34.31,0.46,6.0,26.0,72.4,132.4
Apple,Fruits,250.0,baked,0.75,34.38,0.47,6.0,26.0,75.1,132.7
Apple,Fruits,250.0,fried,0.76,34.77,0.94,6.0,26.0,60.4,143.0
Apple,Fruits,250.0,deep_fried,0.75,34.59,1.16,6.0,26.0,51.5,146.4
Apple,Fruits,300.0,raw,0.89,40.85,0.58,7.2,31.2,84.5,156.8
Apple,Fruits,300.0,boiled,0.9,41.5,0.59,7.2,31.2,98.7,159.7
Apple,Fruits,300.0,steamed,0.9,41.28,0.59,7.2,31.2,89.6,158.9
Apple,Fruits,300.0,grilled,0.9,41.19,0.55,7.2,31.2,72.4,159.0
Apple,Fruits,300.0,baked,0.9,41.59,0.58,7.2,31.2,75.7,161.1
Apple,Fruits,300.0,fried,0.91,41.72,1.13,7.2,31.2,60.4,171.6
Apple,Fruits,300.0,deep_fried,0.91,41.69,1.4,7.2,31.2,51.7,176.8
Apple,Fruits,400.0,raw,1.19,54.85,0.79,9.6,41.6,85.1,211.2
Apple,Fruits,400.0,boiled,1.2,55.07,0.78,9.6,41.6,98.2,211.5
Apple,Fruits,400.0,steamed,1.2,55.34,0.8,9.6,41.6,90.1,213.5
Apple,Fruits,400.0,grilled,1.21,55.6,0.75,9.6,41.6,73.3,215.7
Apple,Fruits,400.0,baked,1.2,55.0,0.75,9.6,41.6,75.1,212.2
Apple,Fruits,400.0,fried,1.2,55.12,1.48,9.6,41.6,59.8,225.9
Apple,Fruits,400.0,deep_fried,1.19,54.74,1.81,9.6,41.6,50.9,230.7
Apple,Fruits,500.0,raw,1.49,68.38,0.98,12.0,52.0,84.8,263.0
Apple,Fruits,500.0,boiled,1.51,69.42,0.99,12.0,52.0,99.0,267.6
Apple,Fruits,500.0,steamed,1.52,69.7,1.01,12.0,52.0,90.8,269.8
Apple,Fruits,500.0,grilled,1.5,68.96,0.92,12.0,52.0,72.7,266.6
Apple,Fruits,500.0,baked,1.51,69.52,0.96,12.0,52.0,75.9,269.5
Apple,Fruits,500.0,fried,1.5,69.19,1.86,12.0,52.0,60.1,283.9
Apple,Fruits,500.0,deep_fried,1.49,68.67,2.28,12.0,52.0,51.1,289.8
Banana,Fruits,30.0,raw,0.33,6.86,0.09,0.78,3.66,75.1,27.9
Banana,Fruits,30.0,boiled,0.33,6.92,0.09,0.78,3.66,87.1,28.1
Banana,Fruits,30.0,steamed,0.33,6.84,0.09,0.78,3.66,78.6,27.8
Banana,Fruits,30.0,grilled,0.33,6.92,0.08,0.78,3.66,64.4,28.3
Banana,Fruits,30.0,baked,0.32,6.71,0.08,0.78,3.66,64.6,27.1
Banana,Fruits,30.0,fried,0.33,6.88,0.17,0.78,3.66,52.8,29.7
Banana,Fruits,30.0,deep_fried,0.33,6.84,0.21,0.78,3.66,45.0,30.3
Banana,Fruits,50.0,raw,0.55,11.37,0.15,1.3,6.1,74.7,46.2
Banana,Fruits,50.0,boiled,0.55,11.41,0.15,1.3,6.1,86.2,46.3
Banana,Fruits,50.0,steamed,0.54,11.23,0.14,1.3,6.1,77.5,45.3
Banana,Fruits,50.0,grilled,0.55,11.38,0.14,1.3,6.1,63.6,46.4
Banana,Fruits,50.0,baked,0.55,11.43,0.14,1.3,6.1,66.1,46.6
Banana,Fruits,50.0,fried,0.56,11.53,0.28,1.3,6.1,53.0,49.8
Banana,Fruits,50.0,deep_fried,0.55,11.36,0.34,1.3,6.1,44.8,50.2
Banana,Fruits,75.0,raw,0.82,17.0,0.22,1.95,9.15,74.4,69.0
Banana,Fruits,75.0,boiled,0.82,17.04,0.22,1.95,9.15,85.8,68.9
Banana,Fruits,75.0,steamed,0.83,17.22,0.23,1.95,9.15,79.2,70.2
Banana,Fruits,75.0,grilled,0.83,17.14,0.21,1.95,9.15,63.8,70.0
Banana,Fruits,75.0,baked,0.82,17.03,0.21,1.95,9.15,65.7,69.2
Banana,Fruits,75.0,fried,0.83,17.17,0.42,1.95,9.15,52.6,74.0
Banana,Fruits,75.0,deep_fried,0.83,17.11,0.52,1.95,9.15,45.0,75.8
Banana,Fruits,100.0,raw,1.11,22.97,0.3,2.6,12.2,75.4,93.7
Banana,Fruits,100.0,boiled,1.09,22.68,0.29,2.6,12.2,85.7,91.7
Banana,Fruits,100.0,steamed,1.1,22.74,0.3,2.6,12.2,78.5,92.3
Banana,Fruits,100.0,grilled,1.1,22.73,0.27,2.6,12.2,63.5,92.5
Banana,Fruits,100.0,baked,1.09,22.55,0.28,2.6,12.2,65.2,91.5
Banana,Fruits,100.0,fried,1.1,22.85,0.56,2.6,12.2,52.5,98.4
Banana,Fruits,100.0,deep_fried,1.1,22.84,0.69,2.6,12.2,45.0,101.2
Banana,Fruits,150.0,raw,1.65,34.2,0.45,3.9,18.3,74.9,139.2
Banana,Fruits,150.0,boiled,1.65,34.14,0.44,3.9,18.3,86.0,138.2
Banana,Fruits,150.0,steamed,1.63,33.84,0.44,3.9,18.3,77.8,136.9
Banana,Fruits,150.0,grilled,1.64,34.09,0.41,3.9,18.3,63.5,138.7
Banana,Fruits,150.0,baked,1.65,34.11,0.43,3.9,18.3,65.7,138.8
Banana,Fruits,150.0,fried,1.64,33.99,0.82,3.9,18.3,52.1,145.9
Banana,Fruits,150.0,deep_fried,1.65,34.16,1.03,3.9,18.3,44.9,151.2
Banana,Fruits,200.0,raw,2.21,45.74,0.6,5.2,24.4,75.1,186.3
Banana,Fruits,200.0,boiled,2.23,46.25,0.6,5.2,24.4,87.4,188.4
Banana,Fruits,200.0,steamed,2.2,45.66,0.6,5.2,24.4,78.7,185.6
Banana,Fruits,200.0,grilled,2.2,45.69,0.55,5.2,24.4,63.8,186.3
Banana,Fruits,200.0,baked,2.2,45.57,0.57,5.2,24.4,65.9,185.6
Banana,Fruits,200.0,fried,2.17,44.94,1.08,5.2,24.4,51.7,192.3
Banana,Fruits,200.0,deep_fried,2.2,45.59,1.38,5.2,24.4,44.9,201.9
Banana,Fruits,250.0,raw,2.75,57.03,0.75,6.5,30.5,74.9,232.1
Banana,Fruits,250.0,boiled,2.8,58.05,0.76,6.5,30.5,87.7,236.9
Banana,Fruits,250.0,steamed,2.75,56.92,0.74,6.5,30.5,78.5,231.1
Banana,Fruits,250.0,grilled,2.76,57.13,0.69,6.5,30.5,63.8,233.0
Banana,Fruits,250.0,baked,2.75,56.99,0.71,6.5,30.5,65.9,232.1
Banana,Fruits,250.0,fried,2.73,56.5,1.36,6.5,30.5,52.0,242.2
Banana,Fruits,250.0,deep_fried,2.77,57.49,1.75,6.5,30.5,45.3,255.4
Banana,Fruits,300.0,raw,3.32,68.79,0.91,7.8,36.6,75.3,280.5
Banana,Fruits,300.0,boiled,3.32,68.81,0.89,7.8,36.6,86.6,279.4
Banana,Fruits,300.0,steamed,3.28,67.93,0.88,7.8,36.6,78.1,275.2
Banana,Fruits,300.0,grilled,3.33,69.12,0.85,7.8,36.6,64.3,282.9
Banana,Fruits,300.0,baked,3.27,67.68,0.84,7.8,36.6,65.2,274.5
Banana,Fruits,300.0,fried,3.31,68.7,1.68,7.8,36.6,52.7,296.0
Banana,Fruits,300.0,deep_fried,3.35,69.52,2.14,7.8,36.6,45.7,309.9
Banana,Fruits,400.0,raw,4.37,90.52,1.18,10.4,48.8,74.3,367.2
Banana,Fruits,400.0,boiled,4.38,90.81,1.17,10.4,48.8,85.8,367.3
Banana,Fruits,400.0,steamed,4.4,91.27,1.19,10.4,48.8,78.7,370.8
Banana,Fruits,400.0,grilled,4.38,90.86,1.1,10.4,48.8,63.4,369.8
Banana,Fruits,400.0,baked,4.35,90.14,1.11,10.4,48.8,65.1,365.4
Banana,Fruits,400.0,fried,4.4,91.25,2.22,10.4,48.8,52.5,392.6
Banana,Fruits,400.0,deep_fried,4.36,90.47,2.72,10.4,48.8,44.6,399.5
Banana,Fruits,500.0,raw,5.52,114.4,1.51,13.0,61.0,75.2,466.1
Banana,Fruits,500.0,boiled,5.46,113.21,1.45,13.0,61.0,85.5,457.3
Banana,Fruits,500.0,steamed,5.56,115.33,1.52,13.0,61.0,79.6,470.6
Banana,Fruits,500.0,grilled,5.47,113.33,1.36,13.0,61.0,63.3,460.8
Banana,Fruits,500.0,baked,5.49,113.72,1.42,13.0,61.0,65.8,462.8
Banana,Fruits,500.0,fried,5.53,114.7,2.81,13.0,61.0,52.7,494.6
Banana,Fruits,500.0,deep_fried,5.45,112.95,3.39,13.0,61.0,44.5,498.5
Orange,Fruits,30.0,raw,0.27,3.55,0.03,0.72,2.82,86.9,14.1
Orange,Fruits,30.0,boiled,0.27,3.57,0.03,0.72,2.82,99.0,14.2
Orange,Fruits,30.0,steamed,0.27,3.5,0.03,0.72,2.82,90.0,13.8
Orange,Fruits,30.0,grilled,0.27,3.54,0.03,0.72,2.82,73.9,14.1
Orange,Fruits,30.0,baked,0.27,3.55,0.03,0.72,2.82,76.5,14.2
Orange,Fruits,30.0,fried,0.27,3.56,0.06,0.72,2.82,61.1,14.9
Orange,Fruits,30.0,deep_fried,0.27,3.51,0.07,0.72,2.82,51.6,15.0
Orange,Fruits,50.0,raw,0.45,5.84,0.05,1.2,4.7,85.9,23.1
Orange,Fruits,50.0,boiled,0.45,5.92,0.05,1.2,4.7,99.0,23.5
Orange,Fruits,50.0,steamed,0.45,5.91,0.05,1.2,4.7,91.3,23.5
Orange,Fruits,50.0,grilled,0.45,5.91,0.05,1.2,4.7,73.9,23.6
Orange,Fruits,50.0,baked,0.45,5.92,0.05,1.2,4.7,76.6,23.6
Orange,Fruits,50.0,fried,0.45,5.87,0.09,1.2,4.7,60.5,24.5
Orange,Fruits,50.0,deep_fried,0.45,5.91,0.12,1.2,4.7,52.2,25.4
Orange,Fruits,75.0,raw,0.68,8.87,0.08,1.8,7.05,87.0,35.3
Orange,Fruits,75.0,boiled,0.67,8.8,0.07,1.8,7.05,99.0,34.7
Orange,Fruits,75.0,steamed,0.68,8.97,0.08,1.8,7.05,92.4,35.8
Orange,Fruits,75.0,grilled,0.68,8.88,0.07,1.8,7.05,74.0,35.5
Orange,Fruits,75.0,baked,0.67,8.77,0.07,1.8,7.05,75.7,34.8
Orange,Fruits,75.0,fried,0.68,8.89,0.14,1.8,7.05,61.1,37.2
Orange,Fruits,75.0,deep_fried,0.67,8.79,0.17,1.8,7.05,51.7,37.6
Orange,Fruits,100.0,raw,0.91,11.87,0.1,2.4,9.4,87.3,47.3
Orange,Fruits,100.0,boiled,0.91,11.9,0.1,2.4,9.4,99.0,47.3
Orange,Fruits,100.0,steamed,0.89,11.73,0.1,2.4,9.4,90.6,46.4
Orange,Fruits,100.0,grilled,0.91,11.89,0.09,2.4,9.4,74.3,47.5
Orange,Fruits,100.0,baked,0.9,11.84,0.1,2.4,9.4,76.6,47.2
Orange,Fruits,100.0,fried,0.91,11.87,0.19,2.4,9.4,61.1,49.8
Orange,Fruits,100.0,deep_fried,0.91,11.97,0.24,2.4,9.4,52.8,51.7
Orange,Fruits,150.0,raw,1.35,17.67,0.15,3.6,14.1,86.6,70.2
Orange,Fruits,150.0,boiled,1.34,17.6,0.15,3.6,14.1,99.0,69.5
Orange,Fruits,150.0,steamed,1.34,17.58,0.15,3.6,14.1,90.5,69.6
Orange,Fruits,150.0,grilled,1.34,17.59,0.14,3.6,14.1,73.3,69.9
Orange,Fruits,150.0,baked,1.35,17.69,0.14,3.6,14.1,76.3,70.4
Orange,Fruits,150.0,fried,1.35,17.75,0.28,3.6,14.1,60.9,74.2
Orange,Fruits,150.0,deep_fried,1.35,17.74,0.35,3.6,14.1,52.2,76.2
Orange,Fruits,200.0,raw,1.81,23.75,0.2,4.8,18.8,87.3,94.6
Orange,Fruits,200.0,boiled,1.8,23.6,0.2,4.8,18.8,99.0,93.4
Orange,Fruits,200.0,steamed,1.82,23.86,0.2,4.8,18.8,92.1,95.1
Orange,Fruits,200.0,grilled,1.8,23.55,0.18,4.8,18.8,73.6,93.8
Orange,Fruits,200.0,baked,1.84,24.08,0.2,4.8,18.8,77.9,96.7
Orange,Fruits,200.0,fried,1.81,23.71,0.37,4.8,18.8,61.0,99.2
Orange,Fruits,200.0,deep_fried,1.79,23.45,0.45,4.8,18.8,51.7,100.3
Orange,Fruits,250.0,raw,2.23,29.26,0.25,6.0,23.5,86.1,115.9
Orange,Fruits,250.0,boiled,2.26,29.61,0.25,6.0,23.5,99.0,117.4
Orange,Fruits,250.0,steamed,2.25,29.45,0.25,6.0,23.5,91.0,116.8
Orange,Fruits,250.0,grilled,2.26,29.66,0.23,6.0,23.5,74.2,118.5
Orange,Fruits,250.0,baked,2.26,29.6,0.24,6.0,23.5,76.7,118.0
Orange,Fruits,250.0,fried,2.25,29.48,0.46,6.0,23.5,60.7,123.1
Orange,Fruits,250.0,deep_fried,2.24,29.31,0.57,6.0,23.5,51.7,125.4
Orange,Fruits,300.0,raw,2.67,35.0,0.29,7.2,28.2,85.8,138.4
Orange,Fruits,300.0,boiled,2.69,35.28,0.29,7.2,28.2,99.0,139.4
Orange,Fruits,300.0,steamed,2.72,35.63,0.3,7.2,28.2,91.7,141.8
Orange,Fruits,300.0,grilled,2.7,35.46,0.28,7.2,28.2,73.9,141.4
Orange,Fruits,300.0,baked,2.67,35.07,0.28,7.2,28.2,75.7,139.1
Orange,Fruits,300.0,fried,2.7,35.45,0.56,7.2,28.2,60.8,148.2
Orange,Fruits,300.0,deep_fried,2.71,35.5,0.69,7.2,28.2,52.2,152.4
Orange,Fruits,400.0,raw,3.58,46.89,0.39,9.6,37.6,86.2,185.8
Orange,Fruits,400.0,boiled,3.6,47.25,0.39,9.6,37.6,99.0,187.1
Orange,Fruits,400.0,steamed,3.6,47.22,0.4,9.6,37.6,91.2,187.4
Orange,Fruits,400.0,grilled,3.57,46.8,0.36,9.6,37.6,73.1,185.8
Orange,Fruits,400.0,baked,3.61,47.33,0.38,9.6,37.6,76.6,188.6
Orange,Fruits,400.0,fried,3.62,47.4,0.75,9.6,37.6,61.0,198.4
Orange,Fruits,400.0,deep_fried,3.63,47.58,0.93,9.6,37.6,52.5,204.7
Orange,Fruits,500.0,raw,4.54,59.47,0.51,12.0,47.0,87.5,237.2
Orange,Fruits,500.0,boiled,4.45,58.39,0.48,12.0,47.0,98.8,230.1
Orange,Fruits,500.0,steamed,4.47,58.59,0.49,12.0,47.0,90.5,231.8
Orange,Fruits,500.0,grilled,4.52,59.23,0.46,12.0,47.0,74.1,236.4
Orange,Fruits,500.0,baked,4.52,59.23,0.48,12.0,47.0,76.7,236.2
Orange,Fruits,500.0,fried,4.52,59.23,0.93,12.0,47.0,61.0,247.9
Orange,Fruits,500.0,deep_fried,4.63,60.7,1.22,12.0,47.0,53.6,263.4
Strawberries,Fruits,30.0,raw,0.21,2.32,0.09,0.6,1.47,91.4,9.7
Strawberries,Fruits,30.0,boiled,0.21,2.33,0.09,0.6,1.47,99.0,9.8
Strawberries,Fruits,30.0,steamed,0.21,2.33,0.09,0.6,1.47,96.2,9.8
Strawberries,Fruits,30.0,grilled,0.21,2.32,0.08,0.6,1.47,77.7,9.7
Strawberries,Fruits,30.0,baked,0.21,2.3,0.09,0.6,1.47,79.9,9.7
Strawberries,Fruits,30.0,fried,0.21,2.32,0.17,0.6,1.47,64.1,10.8
Strawberries,Fruits,30.0,deep_fried,0.21,2.3,0.2,0.6,1.47,54.3,11.1
Strawberries,Fruits,50.0,raw,0.35,3.84,0.15,1.0,2.45,90.8,16.1
Strawberries,Fruits,50.0,boiled,0.35,3.84,0.15,1.0,2.45,99.0,16.0
Strawberries,Fruits,50.0,steamed,0.35,3.85,0.15,1.0,2.45,95.6,16.1
Strawberries,Fruits,50.0,grilled,0.36,3.92,0.14,1.0,2.45,78.7,16.5
Strawberries,Fruits,50.0,baked,0.35,3.8,0.14,1.0,2.45,79.0,15.8
Strawberries,Fruits,50.0,fried,0.35,3.87,0.28,1.0,2.45,64.0,17.9
Strawberries,Fruits,50.0,deep_fried,0.35,3.8,0.34,1.0,2.45,53.9,18.3
Strawberries,Fruits,75.0,raw,0.52,5.75,0.22,1.5,3.68,90.7,24.0
Strawberries,Fruits,75.0,boiled,0.53,5.82,0.22,1.5,3.68,99.0,24.3
Strawberries,Fruits,75.0,steamed,0.53,5.78,0.22,1.5,3.68,95.6,24.2
Strawberries,Fruits,75.0,grilled,0.52,5.73,0.2,1.5,3.68,76.7,23.8
Strawberries,Fruits,75.0,baked,0.52,5.74,0.21,1.5,3.68,79.7,23.9
Strawberries,Fruits,75.0,fried,0.53,5.8,0.42,1.5,3.68,64.0,26.9
Strawberries,Fruits,75.0,deep_fried,0.52,5.74,0.51,1.5,3.68,54.3,27.7
Strawberries,Fruits,100.0,raw,0.7,7.71,0.3,2.0,4.9,91.1,32.3
Strawberries,Fruits,100.0,boiled,0.7,7.7,0.29,2.0,4.9,99.0,32.1
Strawberries,Fruits,100.0,steamed,0.7,7.66,0.29,2.0,4.9,95.1,31.9
Strawberries,Fruits,100.0,grilled,0.71,7.82,0.28,2.0,4.9,78.6,32.9
Strawberries,Fruits,100.0,baked,0.7,7.74,0.29,2.0,4.9,80.5,32.5
Strawberries,Fruits,100.0,fried,0.69,7.58,0.54,2.0,4.9,62.7,34.7
Strawberries,Fruits,100.0,deep_fried,0.7,7.71,0.69,2.0,4.9,54.7,37.4
Strawberries,Fruits,150.0,raw,1.04,11.49,0.45,3.0,7.35,90.5,48.1
Strawberries,Fruits,150.0,boiled,1.06,11.62,0.45,3.0,7.35,99.0,48.6
Strawberries,Fruits,150.0,steamed,1.04,11.48,0.44,3.0,7.35,95.0,47.8
Strawberries,Fruits,150.0,grilled,1.05,11.54,0.41,3.0,7.35,77.3,48.2
Strawberries,Fruits,150.0,baked,1.05,11.59,0.43,3.0,7.35,80.4,48.6
Strawberries,Fruits,150.0,fried,1.06,11.62,0.84,3.0,7.35,64.1,53.8
Strawberries,Fruits,150.0,deep_fried,1.04,11.45,1.02,3.0,7.35,54.1,55.2
Strawberries,Fruits,200.0,raw,1.4,15.36,0.6,4.0,9.8,90.8,64.3
Strawberries,Fruits,200.0,boiled,1.4,15.35,0.58,4.0,9.8,99.0,63.9
Strawberries,Fruits,200.0,steamed,1.39,15.32,0.59,4.0,9.8,95.1,63.9
Strawberries,Fruits,200.0,grilled,1.42,15.6,0.57,4.0,9.8,78.4,65.7
Strawberries,Fruits,200.0,baked,1.4,15.45,0.57,4.0,9.8,80.3,64.7
Strawberries,Fruits,200.0,fried,1.39,15.25,1.09,4.0,9.8,63.1,70.1
Strawberries,Fruits,200.0,deep_fried,1.41,15.51,1.4,4.0,9.8,55.0,75.4
Strawberries,Fruits,250.0,raw,1.78,19.56,0.77,5.0,12.25,92.4,82.6
Strawberries,Fruits,250.0,boiled,1.76,19.4,0.75,5.0,12.25,99.0,81.2
Strawberries,Fruits,250.0,steamed,1.73,19.03,0.73,5.0,12.25,94.5,79.2
Strawberries,Fruits,250.0,grilled,1.74,19.18,0.68,5.0,12.25,77.1,80.0
Strawberries,Fruits,250.0,baked,1.77,19.43,0.73,5.0,12.25,80.8,81.8
Strawberries,Fruits,250.0,fried,1.74,19.15,1.37,5.0,12.25,63.4,88.1
Strawberries,Fruits,250.0,deep_fried,1.76,19.31,1.74,5.0,12.25,54.8,93.7
Strawberries,Fruits,300.0,raw,2.11,23.23,0.91,6.0,14.7,91.5,97.7
Strawberries,Fruits,300.0,boiled,2.09,22.94,0.87,6.0,14.7,99.0,95.3
Strawberries,Fruits,300.0,steamed,2.1,23.09,0.89,6.0,14.7,95.5,96.5
Strawberries,Fruits,300.0,grilled,2.05,22.54,0.79,6.0,14.7,75.5,93.1
Strawberries,Fruits,300.0,baked,2.08,22.92,0.84,6.0,14.7,79.5,95.5
Strawberries,Fruits,300.0,fried,2.1,23.06,1.66,6.0,14.7,63.6,106.3
Strawberries,Fruits,300.0,deep_fried,2.08,22.88,2.03,6.0,14.7,54.1,110.3
Strawberries,Fruits,400.0,raw,2.83,31.18,1.23,8.0,19.6,92.1,131.5
Strawberries,Fruits,400.0,boiled,2.77,30.47,1.15,8.0,19.6,99.0,126.3
Strawberries,Fruits,400.0,steamed,2.79,30.7,1.18,8.0,19.6,95.2,128.2
Strawberries,Fruits,400.0,grilled,2.8,30.83,1.11,8.0,19.6,77.4,129.0
Strawberries,Fruits,400.0,baked,2.83,31.13,1.16,8.0,19.6,80.9,131.0
Strawberries,Fruits,400.0,fried,2.77,30.47,2.17,8.0,19.6,63.0,139.8
Strawberries,Fruits,400.0,deep_fried,2.82,31.07,2.81,8.0,19.6,55.1,151.2
Strawberries,Fruits,500.0,raw,3.5,38.5,1.5,10.0,24.5,91.0,161.4
Strawberries,Fruits,500.0,boiled,3.47,38.22,1.45,10.0,24.5,99.0,158.7
Strawberries,Fruits,500.0,steamed,3.51,38.63,1.5,10.0,24.5,95.9,161.9
Strawberries,Fruits,500.0,grilled,3.51,38.56,1.38,10.0,24.5,77.5,161.4
Strawberries,Fruits,500.0,baked,3.48,38.33,1.41,10.0,24.5,79.7,160.0
Strawberries,Fruits,500.0,fried,3.5,38.52,2.78,10.0,24.5,63.7,177.8
Strawberries,Fruits,500.0,deep_fried,3.49,38.39,3.43,10.0,24.5,54.4,185.7
Blueberries,Fruits,30.0,raw,0.21,4.35,0.09,0.72,2.97,84.3,17.6
Blueberries,Fruits,30.0,boiled,0.21,4.37,0.09,0.72,2.97,97.3,17.6
Blueberries,Fruits,30.0,steamed,0.21,4.4,0.09,0.72,2.97,89.5,17.8
Blueberries,Fruits,30.0,grilled,0.21,4.31,0.08,0.72,2.97,70.9,17.3
Blueberries,Fruits,30.0,baked,0.21,4.42,0.09,0.72,2.97,75.3,18.0
Blueberries,Fruits,30.0,fried,0.21,4.29,0.16,0.72,2.97,58.1,18.4
Blueberries,Fruits,30.0,deep_fried,0.21,4.35,0.21,0.72,2.97,50.5,19.5
Blueberries,Fruits,50.0,raw,0.35,7.28,0.15,1.2,4.95,84.6,29.4
Blueberries,Fruits,50.0,boiled,0.35,7.27,0.15,1.2,4.95,97.0,29.3
Blueberries,Fruits,50.0,steamed,0.35,7.22,0.15,1.2,4.95,88.0,29.1
Blueberries,Fruits,50.0,grilled,0.35,7.24,0.14,1.2,4.95,71.5,29.3
Blueberries,Fruits,50.0,baked,0.35,7.22,0.14,1.2,4.95,73.8,29.1
Blueberries,Fruits,50.0,fried,0.35,7.22,0.28,1.2,4.95,58.7,31.2
Blueberries,Fruits,50.0,deep_fried,0.35,7.3,0.35,1.2,4.95,50.8,32.8
Blueberries,Fruits,75.0,raw,0.53,10.9,0.23,1.8,7.43,84.4,44.1
Blueberries,Fruits,75.0,boiled,0.52,10.82,0.22,1.8,7.43,96.3,43.4
Blueberries,Fruits,75.0,steamed,0.53,10.95,0.23,1.8,7.43,89.0,44.3
Blueberries,Fruits,75.0,grilled,0.53,10.9,0.21,1.8,7.43,71.7,44.1
Blueberries,Fruits,75.0,baked,0.53,10.94,0.22,1.8,7.43,74.5,44.3
Blueberries,Fruits,75.0,fried,0.53,10.93,0.42,1.8,7.43,59.2,47.4
Blueberries,Fruits,75.0,deep_fried,0.52,10.81,0.51,1.8,7.43,50.2,48.3
Blueberries,Fruits,100.0,raw,0.7,14.44,0.3,2.4,9.9,83.8,58.2
Blueberries,Fruits,100.0,boiled,0.7,14.58,0.3,2.4,9.9,97.4,58.8
Blueberries,Fruits,100.0,steamed,0.7,14.57,0.3,2.4,9.9,88.8,58.8
Blueberries,Fruits,100.0,grilled,0.7,14.5,0.28,2.4,9.9,71.6,58.6
